author,authorIsChannelOwner,cid,comment,commentsCount,hasCreatorHeart,pageUrl,publishedTimeText,replyCount,replyToCid,title,type,videoId,voteCount,creator,housetype,channelId,channelName,channelUrl,channelUsername,comments,commentsTurnedOff,date,descriptionLinks/0/text,descriptionLinks/0/url,descriptionLinks/1/text,descriptionLinks/1/url,descriptionLinks/2/text,descriptionLinks/2/url,descriptionLinks/3/text,descriptionLinks/3/url,descriptionLinks/4/text,descriptionLinks/4/url,duration,id,input,isMonetized,likes,location,numberOfSubscribers,subtitles,text,thumbnailUrl,url,viewCount
@iman678888,False,UgyJo0wiN-YAAUEcGMN4AaABAg,I'm sure the people who will buy an apartment like this will also go on about how 'bad' the economy is and how their taxes are too high! Whoever buys this apartment needs to be paying waaaaay more in taxes!,299,False,https://www.youtube.com/watch?v=5mBsgt6wgMU,3 months ago,1.0,,"Inside a $23,500,000 NYC Apartment with Central Park Views | 200 Amsterdam",comment,5mBsgt6wgMU,0.0,Ryan,city,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@kevinflynn5446,False,UgzPAfPbUvu9PKGum1R4AaABAg,Such a shame they build this stuff in Woke York 😢 you will get bashed and raped on the side walk.,299,False,https://www.youtube.com/watch?v=5mBsgt6wgMU,5 months ago,1.0,,"Inside a $23,500,000 NYC Apartment with Central Park Views | 200 Amsterdam",comment,5mBsgt6wgMU,0.0,Ryan,city,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@Neellssoonn1,False,Ugy5rJ105Hrja6XWjwh4AaABAg,"WESELF: We think that is wanna be billionaire of The Thir Millenium. We are looking for a tower not too tall infront of Central Park, we will start testing before 2030 inside hotels...",299,False,https://www.youtube.com/watch?v=5mBsgt6wgMU,5 months ago,2.0,,"Inside a $23,500,000 NYC Apartment with Central Park Views | 200 Amsterdam",comment,5mBsgt6wgMU,0.0,Ryan,city,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@carljos72,False,Ugw-nFB5XhWuqS4kvnp4AaABAg,THE   SECRET   OF    MONEY,299,False,https://www.youtube.com/watch?v=5mBsgt6wgMU,5 months ago,1.0,,"Inside a $23,500,000 NYC Apartment with Central Park Views | 200 Amsterdam",comment,5mBsgt6wgMU,0.0,Ryan,city,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@shereemorgan1430,False,UgwtHBlB4tAXZbzV3hF4AaABAg,"By now it's probably sold, hope so!  Did the furniture come with the price?  She outdoor space is very small.",299,False,https://www.youtube.com/watch?v=5mBsgt6wgMU,6 months ago,1.0,,"Inside a $23,500,000 NYC Apartment with Central Park Views | 200 Amsterdam",comment,5mBsgt6wgMU,0.0,Ryan,city,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@NoyYon-bb2uq,False,Ugw4SxWjQfAfjYvhZkt4AaABAg,❤❤❤❤❤❤❤👍,299,False,https://www.youtube.com/watch?v=5mBsgt6wgMU,6 months ago,1.0,,"Inside a $23,500,000 NYC Apartment with Central Park Views | 200 Amsterdam",comment,5mBsgt6wgMU,0.0,Ryan,city,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@TheMiniWumbo,False,Ugw5kUT4gVHU0uUmErZ4AaABAg,Had to mute the video because I couldn't tell if this was an acting audition or a showing 😂,299,False,https://www.youtube.com/watch?v=5mBsgt6wgMU,7 months ago,1.0,,"Inside a $23,500,000 NYC Apartment with Central Park Views | 200 Amsterdam",comment,5mBsgt6wgMU,0.0,Ryan,city,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@theroadwhite9880,False,UgwJ89wVJQLwcGiUm_F4AaABAg,You go out from your 23 millions dollars penthouse right on other side of the road crackheads doing drugs,299,False,https://www.youtube.com/watch?v=5mBsgt6wgMU,7 months ago,1.0,,"Inside a $23,500,000 NYC Apartment with Central Park Views | 200 Amsterdam",comment,5mBsgt6wgMU,0.0,Ryan,city,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@davidsmith8376,False,UgwAyKp8LnToL9VyHMx4AaABAg,Why is he wearing a dinner jacket?,299,False,https://www.youtube.com/watch?v=5mBsgt6wgMU,7 months ago,1.0,,"Inside a $23,500,000 NYC Apartment with Central Park Views | 200 Amsterdam",comment,5mBsgt6wgMU,0.0,Ryan,city,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@nikkicainlifestyle,False,Ugy-A9RzVKa4b3YXd8J4AaABAg,I don't know which was better!  That mouthwatering apartment or those heart stopping amenities!  Absolutely perfect setup for full living.,299,False,https://www.youtube.com/watch?v=5mBsgt6wgMU,7 months ago,1.0,,"Inside a $23,500,000 NYC Apartment with Central Park Views | 200 Amsterdam",comment,5mBsgt6wgMU,0.0,Ryan,city,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
